label	pred	type
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.2	kpi
1.0	1.0	pdi
1.0	0.0	pdi
0.0	0.0	pdi
0.0	1.0	pdi
1.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
1.0	1.0	pdi
1.0	0.3	pdi
0.0	0.0	kegg
0.0	0.0	pdi
0.0	0.0	pdi
1.0	1.0	kpi
0.0	0.0	kpi
1.0	0.0	pdi
0.0	0.0	pdi
0.0	0.1	pdi
0.0	0.0	pdi
1.0	0.0	pdi
0.0	0.0	pdi
0.0	0.6	kpi
0.0	0.0	pdi
1.0	0.6	pdi
0.0	0.5	kpi
0.0	1.0	kpi
1.0	1.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	1.0	pdi
1.0	0.0	kegg
0.0	1.0	pdi
0.0	0.0	kpi
1.0	1.0	pdi
0.0	0.0	pdi
1.0	0.2	pdi
0.0	0.0	kpi
0.0	0.0	kpi
0.0	0.0	kegg
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
1.0	0.0	pdi
1.0	0.9	pdi
1.0	1.0	pdi
0.0	1.0	pdi
1.0	0.9	kpi
0.0	1.0	pdi
1.0	1.0	pdi
1.0	1.0	pdi
1.0	0.9	pdi
1.0	1.0	pdi
1.0	0.4	pdi
1.0	1.0	pdi
0.0	1.0	pdi
0.0	0.0	kpi
1.0	1.0	pdi
1.0	0.9	pdi
1.0	1.0	pdi
0.0	0.0	pdi
1.0	0.0	pdi
1.0	1.0	pdi
0.0	0.0	kpi
0.0	0.0	kegg
0.0	0.0	pdi
0.0	0.0	kpi
0.0	0.0	pdi
0.0	1.0	pdi
0.0	0.0	pdi
0.0	0.9	pdi
0.0	0.0	pdi
1.0	1.0	pdi
0.0	0.0	kegg
0.0	0.0	pdi
1.0	0.0	pdi
1.0	1.0	pdi
0.0	0.0	pdi
0.0	1.0	pdi
0.0	0.1	pdi
0.0	0.0	kpi
0.0	0.0	pdi
1.0	0.1	pdi
1.0	1.0	pdi
1.0	0.0	pdi
0.0	0.0	pdi
0.0	0.6	pdi
0.0	0.0	pdi
0.0	1.0	kpi
0.0	0.5	pdi
0.0	0.0	pdi
0.0	0.4	kpi
0.0	0.0	pdi
1.0	0.0	pdi
1.0	1.0	pdi
1.0	1.0	pdi
0.0	0.0	kpi
0.0	0.0	kpi
0.0	0.7	pdi
1.0	1.0	pdi
1.0	0.9	pdi
0.0	0.1	pdi
0.0	0.0	pdi
0.0	0.0	kpi
1.0	0.1	pdi
1.0	0.4	pdi
0.0	0.1	pdi
0.0	0.0	kpi
0.0	0.0	kpi
1.0	0.0	pdi
1.0	1.0	pdi
0.0	0.1	kpi
0.0	0.1	pdi
0.0	0.0	pdi
1.0	0.4	pdi
0.0	0.0	pdi
1.0	1.0	pdi
0.0	0.0	kpi
0.0	0.9	pdi
0.0	0.0	kpi
1.0	0.9	pdi
0.0	0.0	pdi
0.0	0.0	pdi
1.0	1.0	pdi
1.0	1.0	pdi
1.0	0.0	pdi
0.0	0.0	pdi
0.0	0.1	pdi
0.0	0.0	pdi
0.0	0.0	kpi
0.0	0.0	pdi
1.0	0.0	kegg
0.0	0.0	pdi
1.0	0.8	pdi
1.0	1.0	kegg
0.0	0.1	kpi
0.0	0.0	pdi
0.0	0.7	pdi
1.0	1.0	pdi
1.0	0.0	pdi
1.0	0.1	pdi
1.0	0.5	pdi
1.0	0.9	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.3	pdi
0.0	0.0	kpi
0.0	0.6	pdi
0.0	1.0	kpi
1.0	0.0	pdi
0.0	0.0	kpi
1.0	1.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	kpi
0.0	0.0	pdi
1.0	0.0	pdi
0.0	0.0	kpi
0.0	0.0	pdi
0.0	0.0	pdi
1.0	1.0	pdi
1.0	0.0	pdi
0.0	1.0	pdi
0.0	0.0	pdi
0.0	0.0	kpi
0.0	0.7	pdi
0.0	0.0	pdi
0.0	0.0	kegg
0.0	0.0	pdi
1.0	1.0	pdi
1.0	1.0	pdi
1.0	1.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
1.0	1.0	pdi
1.0	1.0	pdi
0.0	0.0	pdi
1.0	0.8	kpi
1.0	1.0	pdi
1.0	1.0	pdi
1.0	0.3	pdi
0.0	0.1	pdi
0.0	1.0	pdi
1.0	0.0	pdi
1.0	1.0	pdi
1.0	1.0	pdi
0.0	0.0	pdi
1.0	1.0	pdi
1.0	0.0	kegg
0.0	0.0	kpi
0.0	0.0	pdi
0.0	0.0	kegg
0.0	0.0	pdi
0.0	0.3	pdi
0.0	0.0	pdi
1.0	1.0	pdi
0.0	0.7	pdi
1.0	1.0	pdi
0.0	0.0	kpi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
0.0	0.0	pdi
1.0	0.0	pdi
1.0	0.8	pdi
0.0	0.0	pdi
0.0	0.0	kegg
