s	t	LFC	p.value
YNL236W	YBL113C	-2.46237065538	3.1226289685e-33
YHL025W	YBL113C	-2.10857264534	4.1439439427e-26
YDR310C	YCL048W	3.48435569441	5.03719720063e-63
YDR207C	YCR010C	2.50817479929	1.22372282915e-45
YNL236W	YCR012W	-2.95166236874	4.08175121422e-39
YPL075W	YCR012W	-2.14350703435	8.57137712519e-08
YNL216W	YCR012W	-2.69062464882	6.13608857376e-09
YPL254W	YDR034C.C	-2.49204215501	5.78003797521e-30
YNL236W	YDR034C.C	-4.51755392664	1.63003969624e-66
YOR290C	YDR034C.C	-4.48533680282	5.56772390195e-66
YBR289W	YDR034C.C	-4.390943446	2.3299704789e-64
YHL025W	YDR034C.C	-5.63715234858	2.31054397021e-84
YOL148C	YDR034C.C	-4.79436082285	3.95973130395e-71
YJL176C	YDR034C.C	-5.18801722746	1.73921793952e-77
YCR084C	YDR034C.C	-3.79227352222	6.7527643341e-66
YDR392W	YDR034C.C	-2.07970662453	3.54917915848e-05
YIL036W	YDR064W	-2.05152711368	2.19211682378e-28
YNL216W	YDR064W	-2.19429221329	2.56591359744e-09
YBR289W	YDR366C	-2.04317393258	7.34970433426e-23
YJL176C	YDR366C	-2.24734973738	1.12833732199e-26
YNL236W	YGL234W	-2.50079096043	7.49949695128e-33
YHL025W	YGL234W	-2.11854820438	2.39944267243e-25
YCR084C	YHL046C	4.06815845048	1.99905425534e-101
YOL004W	YHL048W	-2.31901492551	2.08840149818e-51
YNL236W	YIL078W	-3.04666683147	2.73323034277e-44
YHL025W	YIL078W	-2.62571344621	6.10738090402e-36
YIL036W	YIL148W	-2.05039575686	1.17154086077e-27
YLR403W	YJR016C	-2.18494733207	1.25353542235e-28
YIL036W	YJR016C	-2.33426781279	3.36373922404e-31
YNL236W	YJR016C	-3.25793521983	6.55267164908e-50
YHL025W	YJR016C	-2.65862122115	7.50440944994e-38
YOL148C	YJR016C	-2.10734768612	1.38227800758e-26
YMR043W	YKR075C	2.04487054519	2.56681071598e-05
YMR043W	YLR214W	-2.18872663312	8.43482095676e-07
YIL084C	YMR045C	-2.61469320973	6.20228663202e-24
YDL042C	YMR045C	-3.32110934935	6.53238296958e-35
YPL254W	YMR045C	-2.28078519139	8.70626834418e-19
YNL236W	YMR045C	-2.92037542031	3.22746742952e-28
YOR290C	YMR045C	-4.02167913749	4.97765139748e-45
YBR289W	YMR045C	-3.68039281305	7.30599467428e-40
YHL025W	YMR045C	-4.39353737748	1.43514148382e-50
YOL148C	YMR045C	-3.72625343867	1.45610126888e-40
YJL176C	YMR045C	-4.38005683817	2.24342559091e-50
YCR084C	YMR045C	-3.2871325411	6.05776364108e-43
YIL084C	YMR046W.A	-2.24896212914	7.20663340549e-15
YDL042C	YMR046W.A	-2.1154476254	2.16617390572e-13
YBR289W	YMR046W.A	-2.3050066272	2.54435854236e-15
YJL176C	YMR046W.A	-2.86514242755	2.85598355168e-22
YIL084C	YOL013W.A	-2.20486645332	1.8478801817e-21
YDL042C	YOL013W.A	-2.0730464937	1.99150031687e-19
YDR310C	YOL047C	2.63444156941	3.97413102851e-38
YIL084C	YOR192C.A	-2.63147648536	1.80312222782e-24
YDL042C	YOR192C.A	-3.41899432314	8.18949904101e-37
YPL254W	YOR192C.A	-2.83671319932	2.90619176003e-27
YNL236W	YOR192C.A	-3.49011392292	2.39185582727e-37
YOR290C	YOR192C.A	-3.69149140063	1.90466239673e-40
YBR289W	YOR192C.A	-3.68537692753	2.36858930393e-40
YHL025W	YOR192C.A	-4.02066204361	1.88284386762e-45
YOL148C	YOR192C.A	-3.6618181858	5.51664971863e-40
YJL176C	YOR192C.A	-3.98785511277	5.81815469801e-45
YCR084C	YOR192C.A	-3.54538390813	5.5913676485e-48
YDR392W	YOR192C.A	-2.0661541355	6.46379810044e-05
YCR084C	YAL064W.B	3.19501165794	6.4588503598e-79
YCR084C	YAL068C	4.66341574668	1.09309876151e-130
YNL216W	YBR189W	-2.64860042003	5.58921353796e-09
YNL216W	YBR191W	-2.67308704206	2.60817099049e-09
YNL236W	YBR162C	-2.23097138345	1.60221871759e-25
YMR043W	YDR222W	2.79797547924	9.62382203815e-10
YPL177C	YFR032C.A	2.02805648628	6.41796644704e-06
YOL051W	YFR032C.A	2.192688347	1.95935971165e-06
YPL248C	YFR032C.A	2.14917724494	2.67002761506e-06
YOR304W	YFR032C.A	2.15157845511	9.71662452084e-07
YOR363C	YFR032C.A	2.33952245882	2.50268907564e-07
YBR240C	YFR032C.A	2.27245904241	4.03843190456e-07
YOR344C	YFR032C.A	2.00431294139	2.93579830209e-06
YNL216W	YFR032C.A	-3.24710360033	1.66252710313e-08
YLR451W	YGL009C	-2.03757071258	2.49780929262e-38
YDR392W	YGL009C	2.02931609235	1.2019762985e-10
YBR049C	YGL009C	-2.18983154353	2.09801975755e-09
YGL237C	YHR143W	-3.18078158418	1.87247780334e-57
YLR131C	YHR143W	-3.58046562932	9.54248073417e-16
YNL199C	YHR174W	-2.08050496123	9.28814961993e-20
YNL236W	YHR174W	-3.44140939937	3.73375251535e-42
YHL025W	YHR174W	-2.40033564568	1.75136036256e-24
YPL075W	YHR174W	-5.17705872734	2.31342624919e-12
YKL043W	YKL043W	-3.15069883669	3.07970098076e-10
YNL236W	YKL080W	-2.13082730363	4.70396836139e-29
YHL025W	YKL080W	-2.02680808223	7.57738631036e-27
YKR099W	YLR058C	-2.65616020818	1.89773758665e-45
YNL216W	YLR062C	-2.47918338837	1.56070074426e-08
YCR084C	YLR461W	3.5470304801	1.88705463209e-106
YIL036W	YNL209W	-2.08144703167	7.81223376853e-43
YPL049C	YPL049C	-3.45757429309	4.68732604356e-81
YDL106C	YPL019C	-2.76712663841	2.18041365049e-46
YNL216W	YPL019C	-2.10419526035	5.63989139055e-07
YDR207C	YDR207C	-2.00483173326	2.59711078616e-42
YIL036W	YBR031W	-2.1857264977	4.94183741312e-18
YNL236W	YBR031W	-2.99529083072	3.11481084998e-30
YIL036W	YBL087C	-2.0735675755	1.75822353987e-38
YNL216W	YCR013C	-2.51529666116	5.50836986494e-10
YIL084C	YDR034C.A	-2.55606220322	2.41900788086e-21
YDL042C	YDR034C.A	-2.40786975155	2.20468942146e-19
YBR289W	YDR034C.A	-2.48253329108	4.73246649591e-20
YJL176C	YDR034C.A	-2.90269431874	5.85741566279e-26
YIL084C	YDR034C.D	-2.11731914295	1.18912745036e-27
YDL042C	YDR034C.D	-2.01706425163	1.03413625691e-25
YPL254W	YDR034C.D	-2.21501834615	2.53654603562e-29
YOR290C	YDR034C.D	-3.18533489321	2.94743729336e-49
YBR289W	YDR034C.D	-2.97608828841	5.05572015585e-45
YHL025W	YDR034C.D	-2.90502506561	1.40936257819e-43
YOL148C	YDR034C.D	-2.74258645011	2.99943148659e-40
YJL176C	YDR034C.D	-3.24082963535	2.32816678448e-50
YCR084C	YDR034C.D	-2.56917557972	3.23544146377e-46
YIL084C	YDR365W.B	-2.45095179181	3.06690269093e-25
YDL042C	YDR365W.B	-2.54876256275	5.42593360303e-27
YPL254W	YDR365W.B	-2.08956687488	4.14823044135e-19
YOR290C	YDR365W.B	-2.74898655298	6.74705258644e-30
YBR289W	YDR365W.B	-2.31248431741	1.15537887097e-22
YOL148C	YDR365W.B	-2.26361856829	7.14476436163e-22
YJL176C	YDR365W.B	-2.87027040635	5.97358411754e-32
YCR084C	YDR365W.B	-2.11241729226	1.15834672923e-25
YNL216W	YER117W	-2.32537461777	2.47736577915e-06
YNL330C	YGL229C	-2.14920244496	8.44834605961e-13
YNL236W	YGR279C	-2.30493069847	1.34675415142e-30
YIL036W	YHL015W	-2.02759551118	2.30841038587e-32
YNL216W	YHL015W	-2.21151398418	4.77010595049e-07
YNL236W	YIL109C	-3.02354577021	7.74249650436e-29
YHL025W	YIL109C	-2.34966919867	4.50108504068e-19
YPL075W	YIL082W	3.30202495303	5.65638824572e-09
YIL036W	YLR249W	-2.14879253567	3.14380393501e-19
YNL236W	YLR249W	-2.67641523306	1.33815279658e-27
YOR290C	YLR249W	-2.04636001965	1.11864139578e-17
YHL025W	YLR249W	-2.15960255383	2.1525611428e-19
YJL176C	YMR011W	3.08505667173	1.75082162737e-45
YIL084C	YMR046C	-2.78126127524	4.94063815571e-20
YDL042C	YMR046C	-3.45820243712	1.01852985043e-28
YPL254W	YMR046C	-3.2310668588	2.39944267243e-25
YNL236W	YMR046C	-4.73362316805	1.05288852304e-44
YOR290C	YMR046C	-4.76859515109	3.80492274722e-45
YBR289W	YMR046C	-4.51158242915	7.25820285362e-42
YHL025W	YMR046C	-5.34265277546	2.36987307449e-52
YOL148C	YMR046C	-4.70944889232	2.15191696899e-44
YJL176C	YMR046C	-5.15378268365	5.28104103972e-50
YCR084C	YMR046C	-3.79114954258	1.8985082534e-41
YDR392W	YMR046C	-2.19482302371	8.66662841519e-06
YHL027W	YOL014W	-2.07047719667	6.99815349519e-08
YJL127C	YOL014W	-2.3748758316	3.42181291776e-10
YPL075W	YOL014W	-2.00385514547	1.52486545769e-07
YNL027W	YOL016C	-2.42202335102	9.45421413208e-07
YIL084C	YOR192C.B	-2.67811468164	6.66338466878e-26
YDL042C	YOR192C.B	-3.33211284718	2.19197997765e-36
YLR442C	YOR192C.B	-2.05815977699	1.02120836222e-16
YBR083W	YOR192C.B	-2.00833143134	5.15547553838e-16
YPL254W	YOR192C.B	-2.74694048728	1.2213639226e-26
YNL236W	YOR192C.B	-2.5484376201	1.33016817554e-23
YOR290C	YOR192C.B	-3.66025416543	5.80579497404e-41
YBR289W	YOR192C.B	-3.32156347709	1.1635806012e-35
YHL025W	YOR192C.B	-3.58754609757	7.91575367356e-40
YOL148C	YOR192C.B	-3.25274181979	1.41959587282e-34
YJL176C	YOR192C.B	-3.6902187383	1.96880913374e-41
YCR084C	YOR192C.B	-2.99090183196	5.46847360706e-39
YMR043W	YOR226C	2.38952552823	5.12202875443e-09
YPL177C	YPL177C	-2.6520510443	2.2440464385e-12
YOL148C	YAL003W	-2.2339689797	2.38363811563e-27
YNL236W	YAL065C	2.11147681966	6.60223833968e-63
YCR084C	YAL065C	3.12338190514	3.18811193975e-110
YNL236W	YAL038W	-5.15401493622	2.91701196666e-44
YOR290C	YAL038W	-2.72306799535	3.04528301533e-16
YHL025W	YAL038W	-3.47734435587	1.394081192e-24
YOL148C	YAL038W	-2.23081132809	2.37435729236e-11
YPL075W	YAL038W	-2.64370278369	4.53965932599e-08
YNL216W	YDL061C	-2.51252631789	4.30867693757e-08
YGL237C	YEL013W	2.16129692534	2.00198752762e-13
YDR310C	YFR032C	2.69876191551	3.82298067945e-68
YNL236W	YGL008C	-3.72317458445	6.11508820744e-32
YOR290C	YGL008C	-2.55861614199	2.73396593551e-17
YHL025W	YGL008C	-3.63658654889	8.2827129678e-31
YOR290C	YGR122C.A	-2.16690100726	7.82254571537e-22
YJL176C	YGR122C.A	-2.369539822	2.78310023503e-25
YNL236W	YGR123C	-2.0764935082	8.30114334893e-27
YNL236W	YGR155W	-2.43597017622	1.20181309732e-29
YHL025W	YGR155W	-2.02529751791	5.02884725679e-22
YOR290C	YGR157W	-2.00606886589	1.88311985822e-26
YJL176C	YGR157W	-2.16440006224	8.19956032094e-30
YIL084C	YHR145C	-2.09444348178	7.7802224283e-27
YJL176C	YHR145C	-2.18906325868	1.98919988694e-28
YIL036W	YJL116C	2.02512753109	1.03771143283e-29
YIL036W	YLR061W	-2.09256375761	3.15971099775e-30
YNL216W	YLR061W	-3.01618701016	2.27057607881e-08
YJR060W	YPL014W	2.16813892028	2.96180644973e-06
YCR106W	YPL014W	2.02377396727	1.85766042333e-05
YOR229W	YPL014W	2.07337020312	1.03799726797e-05
YLR278C	YPL014W	2.18856779094	2.52996259473e-06
YER111C	YPL014W	2.0082589938	2.83297617967e-05
YDR207C	YPL018W	2.38043306267	5.72211149575e-71
YHL027W	YOR382W	3.02354249902	7.28396456033e-14
YHR041C	YOR382W	2.4026024637	3.71850331475e-09
YCR081W	YOR382W	2.6009546939	1.30115144806e-10
YNL309W	YOR382W	3.25602139563	8.06772186792e-16
YDR463W	YOR382W	2.98968031666	1.38662215975e-13
YML081W	YOR382W	2.18739963416	1.2800987644e-07
YOL148C	YOR382W	2.64460878848	1.16539340553e-10
YCR084C	YOR382W	2.8835507637	8.2313986661e-17
YMR043W	YOR382W	-3.39152362625	0.000133866158671
YEL056W	YPR109W	-2.40793206797	1.69231864797e-12
YLR403W	YBR092C	-2.21342084151	4.29258979192e-27
YIL036W	YBR092C	-2.6556702335	2.93737081002e-35
YPL254W	YBR092C	-3.97496372308	2.9721451453e-60
YOR290C	YBR092C	-3.2663085331	4.98317244524e-47
YBR289W	YBR092C	-2.02074197741	5.463075329e-23
YHL025W	YBR092C	-3.61534159992	1.28204591428e-53
YOL148C	YBR092C	-4.59780052732	2.79609101393e-71
YJL176C	YBR092C	-2.87990448747	1.26935310259e-39
YNL236W	YBR068C	-2.29093495397	1.75394507151e-26
