A	B	annotation1	annotation2
YHR084W	YMR043W	binding/association	NA
YHR084W	YCL027W	expression	NA
YHR084W	YBR083W	binding/association	NA
YHR084W	YMR164C	binding/association	NA
YHR084W	YIR019C	expression	NA
YDR480W	YHR084W	inhibition	NA
YPL049C	YHR084W	inhibition	NA
YBL016W	YNL271C	activation	phosphorylation
YBL016W	YHR084W	activation	phosphorylation
YBL016W	YJL157C	activation	phosphorylation
YBL016W	YDR480W	inhibition	phosphorylation
YBL016W	YPL049C	inhibition	phosphorylation
YGR040W	YNL271C	activation	phosphorylation
YGR040W	YHR084W	activation	phosphorylation
YGR040W	YJL157C	activation	phosphorylation
YGR040W	YDR480W	inhibition	phosphorylation
YGR040W	YPL049C	inhibition	phosphorylation
YDL159W	YBL016W	activation	phosphorylation
YDL159W	YGR040W	activation	phosphorylation
YLR362W	YDL159W	activation	phosphorylation
YLR362W	YJL128C	activation	phosphorylation
YHL007C	YLR362W	activation	phosphorylation
YLR229C	YNL271C	activation	NA
YLR229C	YCL032W	binding/association	NA
YLR229C	YHL007C	activation	NA
YLR229C	YDR099W	activation	NA
YLR229C	YER177W	activation	NA
YLR229C	YNL298W	activation	NA
YLR229C	YOL113W	activation	NA
YER118C	YLR229C	activation	NA
YER118C	YLR362W	binding/association	NA
YER118C	YCL032W	binding/association	NA
YER118C	YJL128C	binding/association	NA
YER118C	YAL041W	activation	NA
YKL161C	YBR279W	activation	NA
YKL161C	YLR182W	activation	NA
YKL161C	YER111C	activation	NA
YHR030C	YPL089C	activation	phosphorylation
YHR030C	YBR279W	activation	NA
YHR030C	YMR036C	inhibition	indirect effect
YHR030C	YLR182W	activation	NA
YHR030C	YER111C	activation	NA
YLR425W	YPR165W	activation	NA
YPR165W	YBL105C	activation	NA
YPR165W	YIL159W	activation	NA
YPR165W	YNL271C	activation	NA
YNL283C	YGR070W	activation	NA
YNL283C	YLR371W	activation	NA
YOL105C	YGR070W	activation	NA
YOL105C	YLR371W	activation	NA
YOR008C	YGR070W	activation	NA
YOR008C	YLR371W	activation	NA
YBL105C	YJL095W	activation	phosphorylation
YJL095W	YOR231W	activation	phosphorylation
YJL095W	YPL140C	activation	phosphorylation
YOR231W	YHR030C	activation	phosphorylation
YOR231W	YKL161C	activation	phosphorylation
YPL140C	YHR030C	activation	phosphorylation
YPL140C	YKL161C	activation	phosphorylation
YPL089C	YGR032W	expression	NA
YPL089C	YLR342W	expression	NA
YPL089C	YMR306W	expression	NA
YPL089C	YKL161C	activation	NA
YIL147C	YDL235C	activation	phosphorylation
YLR006C	YCR073C	activation	phosphorylation
YLR006C	YNR031C	activation	phosphorylation
YCR073C	YJL128C	activation	phosphorylation
YNR031C	YJL128C	activation	phosphorylation
YJL128C	YLR113W	activation	phosphorylation
YLR113W	YMR172W	activation	phosphorylation
YLR113W	YBR182C	activation	phosphorylation
YLR113W	YKL062W	activation	phosphorylation
YLR113W	YMR037C	activation	phosphorylation
YLR113W	YNL167C	inhibition	phosphorylation
YLR113W	YLR079W	activation	phosphorylation
YLR113W	YKL101W	inhibition	phosphorylation
YLR113W	YBR133C	inhibition	phosphorylation
YKL062W	YMR043W	binding/association	NA
YKL062W	YDR256C	expression	NA
YKL062W	YGR088W	expression	NA
YMR037C	YMR043W	binding/association	NA
YMR037C	YDR256C	expression	NA
YMR037C	YGR088W	expression	NA
YGR014W	YER118C	activation	indirect effect
YGR014W	YLR229C	binding/association	NA
YDL235C	YLR006C	inhibition	phosphorylation
YPR075C	YCL032W	binding/association	NA
YCL032W	YLR362W	binding/association	NA
YDR420W	YLR229C	activation	NA
YDR461W	YKL178C	activation	NA
YNL145W	YKL178C	activation	NA
YFL026W	YHR005C	activation	NA
YKL178C	YHR005C	activation	NA
YGL089C	YFL026W	activation	NA
YPL187W	YFL026W	activation	NA
YHR005C	YOR212W	dissociation	NA
YHR005C	YJR086W	dissociation	NA
YOR212W	YJL157C	activation	NA
YOR212W	YHL007C	activation	NA
YOR212W	YNL298W	activation	NA
YOR212W	YOL113W	activation	NA
YOR212W	YDR103W	binding/association	NA
YJR086W	YJL157C	activation	NA
YJR086W	YHL007C	activation	NA
YJR086W	YNL298W	activation	NA
YJR086W	YOL113W	activation	NA
YJR086W	YDR103W	binding/association	NA
YBR200W	YLR229C	binding/association	NA
YBR200W	YAL041W	binding/association	NA
YBR200W	YHL007C	binding/association	NA
YBR200W	YNL298W	binding/association	NA
YBR200W	YOL113W	binding/association	NA
YJL157C	YAL041W	binding/association	NA
