A	B	sign
YDR247W	YDL042C	0
YGL229C	YPR040W	NA
YGL019W	YGR068C	NA
YCL024W	YLR314C	0
YDR247W	YNL295W	0
YJL057C	YMR276W	0
YDL134C	YMR028W	1
YGL158W	YBR289W	0
YDR122W	YOL083W	0
YLR096W	YPR181C	0
YNL020C	YER036C	0
YBR125C	YGL206C	1
YJL095W	YLR067C	0
YPR106W	YGR185C	0
YGL158W	YCR081W	0
YIL106W	YOR046C	NA
YLL019C	YDR212W	0
YGL158W	YPR010C	0
YOR014W	YGL195W	NA
YJL095W	YFR015C	0
YGL190C	YDR188W	NA
YOR233W	YMR049C	0
YKL139W	YNL004W	0
YDR247W	YDR439W	0
YBR028C	YBR084W	0
YNL183C	YGL115W	0
YER133W	YER054C	1
YBR274W	YOR341W	0
YBR136W	YOR027W	0
YJL095W	YKR048C	0
YJL187C	YDR356W	0
YBR028C	YOL041C	0
YPL203W	YJR072C	0
YIL106W	YDR238C	NA
YER129W	YER155C	0
YDL047W	YDL143W	1
YOR109W	YBR260C	NA
YKL126W	YOL078W	0
YDR466W	YBR142W	0
YOR014W	YGR130C	NA
YDL028C	YOL069W	0
YNL307C	YPR159W	0
YLR113W	YPR115W	0
YNL307C	YLR342W	0
YIL035C	YLR196W	0
YBL105C	YOL083W	0
YIL106W	YBR079C	NA
YIL106W	YMR276W	NA
YCL024W	YHR107C	0
YPL140C	YLR180W	0
YIR026C	YJL083W	1
YNR047W	YFR013W	0
YDL028C	YOR257W	0
YNL183C	YER027C	0
YPL042C	YMR049C	0
YGL019W	YOR039W	NA
YDR422C	YDR516C	NA
YHR030C	YLR187W	0
YDL079C	YPL235W	0
YDL101C	YOL123W	0
YFR028C	YER125W	1
YLR096W	YNL049C	0
YLR113W	YOR039W	0
YJL128C	YJL076W	0
YCR079W	YOR323C	1
YJL106W	YKL140W	0
YOR014W	YDR032C	NA
YPR119W	YER107C	NA
YJL106W	YGL227W	0
YKL126W	YML006C	0
YPL203W	YER054C	0
YIL095W	YLR196W	0
YGR203W	YJL076W	1
YJL095W	YHR052W	0
YPL140C	YCL028W	0
YPR161C	YDR211W	0
YPL042C	YDL060W	0
YOR014W	YFR029W	NA
YLR096W	YPR115W	0
YIL095W	YLR342W	0
YDL155W	YKL068W	NA
YCR079W	YER178W	1
YGL158W	YDR176W	0
YPL153C	YLR373C	0
YPL042C	YNL132W	0
YNL307C	YIL117C	0
YDR466W	YHR052W	0
YJL187C	YLR067C	0
YNL207W	YIL105C	0
YPR161C	YJR144W	0
YOR267C	YPL093W	0
YDR436W	YKL088W	1
YIL095W	YHR161C	0
YNL307C	YGL197W	0
YPL256C	YOR127W	NA
YDR477W	YER027C	0
YJL128C	YNL110C	0
YER059W	YLR079W	NA
YDL155W	YJL076W	NA
YBR059C	YBL007C	0
YBL016W	YGR097W	0
YGR108W	YLR079W	NA
YDR122W	YOL082W	0
YNL307C	YKL171W	NA
YOR061W	YOR039W	0
YGL158W	YGL151W	0
YLL019C	YJL010C	0
YJL164C	YOR151C	0
YKL198C	YJL014W	0
YDL188C	YMR028W	1
YNL307C	YGL100W	0
YOR267C	YER126C	0
YNL183C	YER125W	0
YOR061W	YDR170C	0
YCR079W	YBR221C	1
