X1	X2	sign
MATA1	YBR281C	NA
MATA1	YBR282W	NA
YBL005W	YBL006C	0
YBL021C	YBR039W	0
YBL021C	YCR028C	0
YBL021C	YDL170W	0
YBL021C	YDL171C	0
YBL021C	YER174C	0
YBL021C	YGL187C	0
YBL021C	YHR050WA	0
YBL021C	YHR051W	0
YBL021C	YLL027W	0
YBL021C	YLR220W	0
YBL021C	YML119W	0
YBL021C	YML120C	0
YBL021C	YNL009W	0
YBL021C	YPL207W	0
YBL103C	YBL043W	NA
YBL103C	YDL066W	NA
YBL103C	YDL067C	NA
YBL103C	YDR042C	NA
YBL103C	YDR127W	NA
YBL103C	YDR508C	NA
YBL103C	YDR510W	NA
YBL103C	YER069W	NA
YBL103C	YGR052W	NA
YBL103C	YHR161C	NA
YBL103C	YHR162W	NA
YBL103C	YIL056W	NA
YBL103C	YJL088W	NA
YBL103C	YJR109C	NA
YBL103C	YJR110W	NA
YBL103C	YJR148W	NA
YBL103C	YLL004W	NA
YBL103C	YLL005C	NA
YBL103C	YLL015W	NA
YBL103C	YLL018C	NA
YBL103C	YLR049C	NA
YBL103C	YLR130C	NA
YBL103C	YLR266C	NA
YBL103C	YLR267W	NA
YBL103C	YMR251WA	NA
YBL103C	YNL036W	NA
YBL103C	YNL037C	NA
YBL103C	YOR136W	NA
YBL103C	YPL135W	NA
YBL103C	YPL137C	NA
YBL103C	YPR036WA	NA
YBR049C	SNR189	NA
YBR049C	SNR37	NA
YBR049C	SNR41	NA
YBR049C	SNR51	NA
YBR049C	SNR70	NA
YBR049C	SNR83	NA
YBR049C	TG(GCC)G2	NA
YBR049C	TK(UUU)P	NA
YBR049C	TP(UGG)H	NA
YBR049C	YAL030W	NA
YBR049C	YAL031C	NA
YBR049C	YBL046W	NA
YBR049C	YBL047C	NA
YBR049C	YBL058W	NA
YBR049C	YBR095C	NA
YBR049C	YBR096W	NA
YBR049C	YBR130C	NA
YBR049C	YBR131W	NA
YBR049C	YBR164C	NA
YBR049C	YBR165W	NA
YBR049C	YBR170C	NA
YBR049C	YBR171W	NA
YBR049C	YBR179C	NA
YBR049C	YBR180W	NA
YBR049C	YBR236C	NA
YBR049C	YBR237W	NA
YBR049C	YCR032W	NA
YBR049C	YCR042C	NA
YBR049C	YCR067C	NA
YBR049C	YCR068W	NA
YBR049C	YDL045WA	NA
YBR049C	YDL137W	NA
YBR049C	YDL140C	NA
YBR049C	YDL155W	NA
YBR049C	YDL173W	NA
YBR049C	YDL174C	NA
YBR049C	YDL186W	NA
YBR049C	YDL188C	NA
YBR049C	YDL212W	NA
YBR049C	YDL213C	NA
YBR049C	YDL225W	NA
YBR049C	YDL226C	NA
YBR049C	YDR003W	NA
YBR049C	YDR028C	NA
YBR049C	YDR036C	NA
YBR049C	YDR037W	NA
YBR049C	YDR155C	NA
YBR049C	YDR156W	NA
YBR049C	YDR190C	NA
YBR049C	YDR191W	NA
YBR049C	YDR257C	NA
YBR049C	YDR313C	NA
YBR049C	YDR328C	NA
YBR049C	YDR457W	NA
YBR049C	YDR465C	NA
YBR049C	YDR466W	NA
YBR049C	YEL022W	NA
YBR049C	YEL023C	NA
YBR049C	YER013W	NA
YBR049C	YER025W	NA
YBR049C	YER039CA	NA
YBR049C	YER039C	NA
YBR049C	YER040W	NA
YBR049C	YER048WA	NA
YBR049C	YER068W	NA
YBR049C	YER105C	NA
YBR049C	YER106W	NA
YBR049C	YER156C	NA
YBR049C	YER157W	NA
YBR049C	YFL005W	NA
YBR049C	YFL023W	NA
YBR049C	YFL024C	NA
YBR049C	YGL068W	NA
YBR049C	YGL070C	NA
YBR049C	YGL119W	NA
YBR049C	YGL120C	NA
YBR049C	YGL151W	NA
YBR049C	YGL160W	NA
YBR049C	YGL161C	NA
YBR049C	YGL181W	NA
YBR049C	YGL183C	NA
YBR049C	YGL191W	NA
YBR049C	YGL198W	NA
YBR049C	YGL200C	NA
YBR049C	YGL237C	NA
YBR049C	YGL244W	NA
YBR049C	YGL248W	NA
YBR049C	YGR012W	NA
YBR049C	YGR078C	NA
YBR049C	YGR079W	NA
YBR049C	YGR132C	NA
YBR049C	YGR133W	NA
YBR049C	YGR147C	NA
YBR049C	YGR179C	NA
YBR049C	YGR218W	NA
YBR049C	YGR231C	NA
YBR049C	YGR232W	NA
YBR049C	YGR235C	NA
YBR049C	YGR241C	NA
YBR049C	YGR243W	NA
YBR049C	YHL030W	NA
YBR049C	YHL031C	NA
YBR049C	YHR026W	NA
YBR049C	YHR146W	NA
YBR049C	YHR170W	NA
YBR049C	YIL022W	NA
YBR049C	YIL023C	NA
YBR049C	YIL075C	NA
YBR049C	YIL108W	NA
YBR049C	YIL109C	NA
YBR049C	YIL112W	NA
YBR049C	YIL125W	NA
YBR049C	YJL001W	NA
YBR049C	YJL002C	NA
YBR049C	YJL043W	NA
YBR049C	YJL044C	NA
YBR049C	YJL105W	NA
YBR049C	YJL194W	NA
YBR049C	YJL196C	NA
YBR049C	YJR007W	NA
YBR049C	YJR085C	NA
YBR049C	YJR086W	NA
YBR049C	YJR090C	NA
YBR049C	YJR098C	NA
YBR049C	YJR099W	NA
YBR049C	YJR122W	NA
YBR049C	YJR137C	NA
YBR049C	YJR138W	NA
YBR049C	YKL051W	NA
YBR049C	YKL052C	NA
YBR049C	YKL058W	NA
YBR049C	YKL059C	NA
YBR049C	YKL072W	NA
YBR049C	YKL104C	NA
YBR049C	YKL145W	NA
YBR049C	YKR015C	NA
YBR049C	YKR016W	NA
YBR049C	YKR068C	NA
YBR049C	YKR069W	NA
YBR049C	YLL040C	NA
YBR049C	YLR223C	NA
YBR049C	YLR224W	NA
YBR049C	YLR262C	NA
YBR049C	YLR309C	NA
YBR049C	YLR378C	NA
