X1	X2	sign
MEL1	YJL092W	NA
Q0085	YCR106W	NA
TORF1	YCR106W	NA
TORF19	YDR361C	NA
TORF21	YKR048C	NA
TORF47	YCR106W	NA
YAL005C	YBR101C	NA
YAL012W	YAL012W	NA
YAL016W	YIL065C	NA
YAL016W	YNL127W	NA
YAL020C	YBL071WA	NA
YAL021C	YJL112W	NA
YAL021C	YMR124W	NA
YAL021C	YMR181C	NA
YAL021C	YNR052C	NA
YAL024C	YHR158C	NA
YAL027W	YPL022W	NA
YAL028W	YDL239C	NA
YAL032C	YDR416W	NA
YAL032C	YDR448W	NA
YAL032C	YDR532C	NA
YAL032C	YJL112W	NA
YAL032C	YLR345W	NA
YAL032C	YLR423C	NA
YAL032C	YNL229C	NA
YAL032C	YPL151C	NA
YAL034WA	YGL172W	NA
YAL034WA	YGR120C	NA
YAL034WA	YJR112W	NA
YAL034WA	YKL103C	NA
YAL036C	YDR152W	NA
YAL036C	YDR448W	NA
YAL036C	YLR423C	NA
YAL036C	YOR174W	NA
YAL040C	YJL013C	NA
YAL041W	YBR200W	NA
YAL044WA	YDR098C	NA
YAL044WA	YER174C	NA
YAL044WA	YNL218W	NA
YAL044WA	YNL249C	NA
YAL046C	YDR098C	NA
YAL046C	YER174C	NA
YAL046C	YKR034W	NA
YAL049C	YNL094W	NA
YAL054C	YDR216W	NA
YAL054C	YLR049C	NA
YAL054C	YNL189W	NA
YAL055W	YDL100C	NA
YAL055W	YGR133W	NA
YAL060W	YER081W	NA
YAL062W	YLR267W	NA
YAR003W	YBR175W	NA
YAR003W	YDR140W	NA
YAR007C	YJL173C	NA
YAR014C	YER133W	NA
YAR018C	YAR018C	NA
YAR027W	YAR027W	NA
YAR027W	YAR028W	NA
YAR027W	YBR042C	NA
YAR027W	YDR100W	NA
YAR027W	YDR411C	NA
YAR027W	YEL042W	NA
YAR027W	YER087CA	NA
YAR027W	YGL104C	NA
YAR027W	YGL225W	NA
YAR027W	YGR284C	NA
YAR027W	YJL097W	NA
YAR027W	YJL117W	NA
YAR027W	YJR013W	NA
YAR027W	YJR044C	NA
YAR027W	YLR279W	NA
YAR027W	YLR350W	NA
YAR027W	YML055W	NA
YAR027W	YMR071C	NA
YAR027W	YNL219C	NA
YAR027W	YNL263C	NA
YAR027W	YNL315C	NA
YAR027W	YOL129W	NA
YAR027W	YPL020C	NA
YAR027W	YPR113W	NA
YAR027W	YPR159CA	NA
YAR028W	YAR028W	NA
YAR028W	YJL097W	NA
YAR031W	YBR217W	NA
YAR031W	YCR030C	NA
YAR033W	YAR033W	NA
YAR033W	YGL051W	NA
YAR033W	YPR113W	NA
YAR035W	YER024W	NA
YAR066W	YDR074W	NA
YBL001C	YBL001C	NA
YBL006C	YDR489W	NA
YBL007C	YHR016C	NA
YBL010C	YKR022C	NA
YBL014C	YJL025W	NA
YBL016W	YDR480W	NA
YBL016W	YPL049C	NA
YBL020W	YDR479C	NA
YBL020W	YIR038C	NA
YBL021C	YGL237C	NA
YBL021C	YOR358W	NA
YBL023C	YDR122W	NA
YBL023C	YDR473C	NA
YBL023C	YLR096W	NA
YBL023C	YLR291C	NA
YBL023C	YMR314W	NA
YBL023C	YPL144W	NA
YBL023C	YPR019W	NA
YBL025W	YMR270C	NA
YBL026W	YCR077C	NA
YBL026W	YGR158C	NA
YBL026W	YLR438CA	NA
YBL033C	YBL033C	NA
YBL033C	YNL105W	NA
YBL033C	YPR172W	NA
YBL035C	YNL102W	NA
YBL037W	YFR043C	NA
YBL037W	YJR058C	NA
YBL037W	YKL103C	NA
YBL039C	YJR103W	NA
YBL042C	YER021W	NA
YBL043W	YBL101WA	NA
YBL043W	YDR099W	NA
YBL045C	YPR191W	NA
YBL046W	YNL201C	NA
YBL047C	YCR030C	NA
YBL047C	YGR241C	NA
YBL051C	YIL151C	NA
YBL051C	YKR096W	NA
YBL056W	YDR071C	NA
YBL057C	YMR276W	NA
YBL058W	YDL190C	NA
YBL058W	YFL044C	NA
YBL058W	YLR291C	NA
YBL058W	YNL155W	NA
YBL060W	YOR094W	NA
YBL068W	YOL061W	NA
YBL069W	YDR100W	NA
YBL077W	YBL077W	NA
YBL078C	YHR171W	NA
YBL078C	YNL223W	NA
YBL078C	YNR007C	NA
YBL078C	YOL083W	NA
YBL081W	YDL167C	NA
YBL091C	YGR142W	NA
YBL091CA	YDR479C	NA
YBL091CA	YIR038C	NA
YBL091CA	YML029W	NA
YBL091CA	YPL094C	NA
YBL093C	YML051W	NA
YBL101C	YNL225C	NA
YBL101WA	YFL002WA	NA
YBL101WA	YJL162C	NA
YBL101WA	YNL229C	NA
YBL102W	YGR068C	NA
YBL102W	YLR453C	NA
YBL102W	YOR036W	NA
YBL105C	YML109W	NA
YBR006W	YBR006W	NA
YBR006W	YDR382W	NA
YBR006W	YKL023W	NA
YBR019C	YBR019C	NA
YBR029C	YIR033W	NA
YBR029C	YIR038C	NA
YBR030W	YLR244C	NA
YBR034C	YGR165W	NA
YBR034C	YIL061C	NA
YBR038W	YPR106W	NA
YBR040W	YCL040W	NA
YBR041W	YDL153C	NA
YBR042C	YER081W	NA
YBR052C	YDR032C	NA
YBR055C	YLR446W	NA
YBR055C	YPR082C	NA
YBR056W	YFR007W	NA
YBR057C	YCL055W	NA
YBR057C	YDR206W	NA
YBR057C	YER018C	NA
YBR057C	YGL036W	NA
YBR057C	YGL192W	NA
YBR057C	YHL004W	NA
YBR057C	YJL025W	NA
YBR057C	YJL058C	NA
YBR057C	YJL085W	NA
YBR057C	YPL135W	NA
YBR059C	YBR059C	NA
YBR059C	YER144C	NA
YBR059C	YGL213C	NA
YBR059C	YML014W	NA
YBR072W	YBR072W	NA
YBR072W	YBR261C	NA
YBR072W	YDL239C	NA
YBR072W	YML064C	NA
YBR072W	YNL189W	NA
YBR077C	YGR201C	NA
YBR077C	YKR007W	NA
YBR077C	YMR004W	NA
YBR080C	YBR080C	NA
YBR080C	YBR261C	NA
YBR080C	YIL046W	NA
YBR080C	YJL030W	NA
YBR080C	YLR291C	NA
YBR080C	YNL189W	NA
YBR080C	YNL288W	NA
YBR080C	YPL070W	NA
YBR087W	YDR229W	NA
YBR087W	YJR068W	NA
YBR088C	YDR510W	NA
YBR094W	YLR264W	NA
YBR094W	YOL149W	NA
YBR102C	YLR423C	NA
YBR103W	YGR262C	NA
YBR103W	YHL004W	NA
YBR103W	YIL112W	NA
YBR103W	YJR141W	NA
YBR103W	YMR061W	NA
YBR103W	YPL173W	NA
YBR107C	YDR421W	NA
YBR107C	YDR489W	NA
YBR107C	YGL071W	NA
YBR107C	YHR113W	NA
YBR108W	YCR009C	NA
YBR108W	YDR388W	NA
YBR108W	YGR136W	NA
YBR109C	YGL106W	NA
YBR111C	YLR245C	NA
YBR111C	YPL070W	NA
YBR122C	YGR211W	NA
YBR123C	YLR423C	NA
YBR125C	YDR071C	NA
YBR126C	YBR126C	NA
YBR126C	YML100W	NA
YBR126C	YMR261C	NA
YBR126WA	YIR038C	NA
YBR130C	YBR130C	NA
YBR131W	YGL124C	NA
YBR133C	YDL154W	NA
YBR133C	YGL187C	NA
YBR134W	YCR106W	NA
YBR134W	YOR128C	NA
YBR135W	YBR160W	NA
YBR135W	YBR252W	NA
YBR135W	YDL155W	NA
YBR135W	YER102W	NA
YBR135W	YGR108W	NA
YBR135W	YPR119W	NA
YBR137W	YBR137W	NA
YBR137W	YML064C	NA
YBR137W	YMR047C	NA
YBR137W	YNL189W	NA
YBR141C	YDR372C	NA
YBR141C	YGL091C	NA
YBR150C	YOL089C	NA
YBR150C	YOR174W	NA
YBR152W	YGR075C	NA
YBR153W	YBR153W	NA
YBR154C	YFL023W	NA
YBR155W	YER081W	NA
YBR156C	YPL209C	NA
YBR162WA	YPL094C	NA
YBR166C	YBR166C	NA
YBR166C	YLR291C	NA
YBR170C	YDL126C	NA
YBR170C	YDL190C	NA
YBR170C	YGR048W	NA
YBR176W	YBR176W	NA
YBR176W	YLR347C	NA
YBR176W	YML064C	NA
YBR176W	YNL189W	NA
YBR176W	YPL070W	NA
YBR182C	YER125W	NA
YBR182C	YLR423C	NA
YBR186W	YBR261C	NA
YBR186W	YLR032W	NA
YBR187W	YNR032W	NA
YBR188C	YDR416W	NA
YBR188C	YKR034W	NA
YBR188C	YLR117C	NA
YBR188C	YMR124W	NA
YBR190W	YLR117C	NA
YBR193C	YER022W	NA
YBR193C	YGL127C	NA
YBR193C	YGR104C	NA
YBR193C	YLR295C	NA
YBR194W	YMR070W	NA
YBR194W	YPR152C	NA
YBR195C	YLR017W	NA
YBR195C	YPR018W	NA
YBR196C	YGL229C	NA
YBR198C	YGL112C	NA
YBR200W	YJL157C	NA
YBR201W	YML029W	NA
YBR205W	YIR038C	NA
YBR205W	YPR107C	NA
YBR212W	YDL167C	NA
YBR212W	YPL184C	NA
YBR216C	YML007W	NA
YBR217W	YHR171W	NA
YBR217W	YLR423C	NA
YBR217W	YMR159C	NA
YBR217W	YPL149W	NA
YBR221C	YKL117W	NA
YBR221C	YLR345W	NA
YBR222C	YDL006W	NA
YBR223C	YDR510W	NA
YBR228W	YLR135W	NA
YBR233W	YBR233W	NA
YBR233W	YBR261C	NA
YBR233W	YDR116C	NA
YBR233W	YDR473C	NA
YBR233W	YGL122C	NA
YBR233W	YIL079C	NA
YBR233W	YKL074C	NA
YBR233W	YLR291C	NA
YBR233W	YMR294WA	NA
YBR233W	YNL075W	NA
YBR233W	YNL288W	NA
YBR234C	YDL029W	NA
YBR234C	YDR063W	NA
YBR237W	YDR073W	NA
YBR239C	YPL133C	NA
YBR241C	YDR479C	NA
YBR241C	YIR033W	NA
YBR241C	YIR038C	NA
YBR242W	YBR242W	NA
YBR243C	YIR038C	NA
YBR244W	YCR086W	NA
YBR244W	YLR117C	NA
YBR244W	YLR345W	NA
YBR246W	YDR520C	NA
YBR247C	YKL159C	NA
YBR249C	YDR510W	NA
YBR252W	YBR252W	NA
YBR252W	YLR291C	NA
YBR252W	YNL189W	NA
YBR253W	YMR112C	NA
YBR254C	YDR472W	NA
YBR254C	YKR068C	NA
YBR255W	YIL106W	NA
YBR260C	YDR239C	NA
YBR260C	YER144C	NA
YBR260C	YGR196C	NA
YBR260C	YMR032W	NA
YBR260C	YNL094W	NA
YBR261C	YCL028W	NA
YBR261C	YCR007C	NA
YBR261C	YDR032C	NA
YBR261C	YDR100W	NA
YBR261C	YDR256C	NA
YBR261C	YER086W	NA
YBR261C	YFL059W	NA
YBR261C	YGL037C	NA
YBR261C	YGR088W	NA
YBR261C	YGR267C	NA
YBR261C	YHL018W	NA
YBR261C	YHR074W	NA
YBR261C	YHR111W	NA
YBR261C	YHR112C	NA
YBR261C	YHR113W	NA
YBR261C	YIL074C	NA
YBR261C	YJL151C	NA
YBR261C	YJL199C	NA
YBR261C	YJL218W	NA
YBR261C	YKL151C	NA
YBR261C	YLL001W	NA
YBR261C	YLR098C	NA
YBR261C	YLR245C	NA
YBR261C	YLR438CA	NA
YBR261C	YML042W	NA
YBR261C	YMR021C	NA
YBR261C	YMR095C	NA
YBR261C	YNL044W	NA
YBR261C	YNL239W	NA
YBR261C	YOL143C	NA
YBR261C	YOR095C	NA
YBR261C	YOR108W	NA
YBR261C	YOR192CA	NA
YBR261C	YOR284W	NA
YBR261C	YPL049C	NA
YBR261C	YPL069C	NA
YBR261C	YPL088W	NA
YBR261C	YPR113W	NA
YBR264C	YOR370C	NA
YBR270C	YDR259C	NA
YBR270C	YER093C	NA
YBR270C	YIL105C	NA
YBR270C	YKR026C	NA
YBR270C	YLR423C	NA
YBR270C	YMR236W	NA
YBR270C	YNL047C	NA
YBR270C	YPL124W	NA
YBR270C	YPL255W	NA
YBR273C	YDL190C	NA
YBR273C	YDR411C	NA
YBR274W	YLR258W	NA
YBR274W	YMR255W	NA
YBR276C	YER081W	NA
YBR278W	YDR121W	NA
YBR279W	YOR123C	NA
YBR281C	YDL153C	NA
YBR281C	YNL287W	NA
YBR284W	YDL238C	NA
YBR284W	YML035C	NA
YBR288C	YGR261C	NA
YBR289W	YPL129W	NA
YCL010C	YDR176W	NA
YCL019W	YDR261WA	NA
YCL019W	YDR261WB	NA
YCL020W	YDR261WA	NA
YCL020W	YDR510W	NA
YCL020W	YFL002WA	NA
YCL021WA	YPL094C	NA
YCL024W	YKR048C	NA
YCL028W	YCL028W	NA
YCL028W	YCR060W	NA
YCL028W	YGR142W	NA
YCL028W	YHR034C	NA
YCL028W	YKL040C	NA
YCL028W	YLR291C	NA
YCL028W	YML051W	NA
YCL028W	YNL189W	NA
YCL028W	YNL288W	NA
YCL028W	YOL111C	NA
YCL028W	YOL123W	NA
YCL028W	YOR007C	NA
YCL028W	YPL070W	NA
YCL029C	YER016W	NA
YCL032W	YDR032C	NA
YCL032W	YLR362W	NA
YCL032W	YLR423C	NA
YCL033C	YKL103C	NA
YCL033C	YOL082W	NA
YCL039W	YMR135C	NA
YCL040W	YCL040W	NA
YCL040W	YDR516C	NA
YCL040W	YML099C	NA
YCL040W	YNL189W	NA
YCL046W	YGL115W	NA
YCL054W	YNL154C	NA
YCL055W	YGL036W	NA
YCL055W	YGL192W	NA
YCL056C	YDL157C	NA
YCL056C	YDR142C	NA
YCL056C	YIL065C	NA
YCL056C	YJL185C	NA
YCL056C	YNL131W	NA
YCL056C	YOR037W	NA
YCL059C	YGL201C	NA
YCL059C	YOR229W	NA
YCL063W	YLR423C	NA
YCL066W	YDR480W	NA
YCL066W	YHR084W	NA
YCL066W	YPL049C	NA
YCR004C	YDR032C	NA
YCR005C	YCR005C	NA
YCR007C	YDL120W	NA
YCR007C	YDL164C	NA
YCR007C	YKR066C	NA
YCR007C	YMR079W	NA
YCR007C	YPL020C	NA
YCR009C	YDR388W	NA
YCR009C	YER125W	NA
YCR009C	YMR232W	NA
YCR011C	YNL154C	NA
YCR020C	YCR020C	NA
YCR020C	YLR291C	NA
YCR020CA	YEL053C	NA
YCR020CA	YIL119C	NA
YCR020CA	YKL025C	NA
YCR021C	YDR479C	NA
YCR022C	YDL017W	NA
YCR023C	YMR075CA	NA
YCR024C	YNL243W	NA
YCR027C	YOL083W	NA
YCR035C	YHR114W	NA
YCR036W	YGL153W	NA
YCR045C	YOR348C	NA
YCR050C	YDL017W	NA
YCR051W	YER184C	NA
YCR052W	YFR037C	NA
YCR052W	YOR232W	NA
YCR057C	YGR154C	NA
YCR059C	YDR400W	NA
YCR059C	YJL160C	NA
YCR060W	YHR034C	NA
YCR060W	YKL117W	NA
YCR063W	YDR408C	NA
YCR063W	YOL135C	NA
YCR063W	YPR152C	NA
YCR065W	YML051W	NA
YCR066W	YGL058W	NA
YCR066W	YOR128C	NA
YCR067C	YOR128C	NA
YCR068W	YIR033W	NA
YCR068W	YIR038C	NA
YCR068W	YNL111C	NA
YCR073C	YGR142W	NA
YCR073C	YLR006C	NA
YCR076C	YNL189W	NA
YCR077C	YDL139C	NA
YCR077C	YDL175C	NA
YCR077C	YJL124C	NA
YCR082W	YER022W	NA
YCR082W	YOR023C	NA
YCR083W	YCR086W	NA
YCR083W	YDR448W	NA
YCR086W	YCR086W	NA
YCR086W	YDL089W	NA
YCR086W	YDR061W	NA
YCR086W	YDR439W	NA
YCR086W	YER086W	NA
YCR086W	YER106W	NA
YCR086W	YER144C	NA
YCR086W	YGL175C	NA
YCR086W	YGR155W	NA
YCR086W	YIL152W	NA
YCR086W	YJL110C	NA
YCR086W	YKR010C	NA
YCR086W	YKR034W	NA
YCR086W	YKR068C	NA
YCR086W	YLR291C	NA
YCR086W	YNL311C	NA
YCR086W	YOL020W	NA
YCR086W	YOR264W	NA
YCR086W	YOR281C	NA
YCR087CA	YKR092C	NA
YCR088W	YOR284W	NA
YCR093W	YDR376W	NA
YCR095C	YNL099C	NA
YCR105W	YCR105W	NA
YCR106W	YDR222W	NA
YCR106W	YEL072W	NA
YCR106W	YGL247W	NA
YCR106W	YGR081C	NA
YCR106W	YGR140W	NA
YCR106W	YHR130C	NA
YCR106W	YJL006C	NA
YCR106W	YJL077WB	NA
YCR106W	YJL135W	NA
YCR106W	YMR060C	NA
YCR106W	YMR141C	NA
YCR106W	YNL171C	NA
YCR106W	YPL034W	NA
YCR106W	YPL243W	NA
YCR106W	YPL267W	NA
YCR106W	YPR046W	NA
YDL001W	YDL133W	NA
YDL001W	YMR079W	NA
YDL002C	YER092W	NA
YDL002C	YGL150C	NA
YDL002C	YLR052W	NA
YDL005C	YHR167W	NA
YDL005C	YML051W	NA
YDL006W	YDR162C	NA
YDL011C	YEL023C	NA
YDL012C	YDR151C	NA
YDL012C	YFR047C	NA
YDL012C	YHR032W	NA
YDL012C	YHR140W	NA
YDL012C	YIL172C	NA
YDL012C	YJL065C	NA
YDL012C	YOR355W	NA
YDL013W	YDR510W	NA
YDL013W	YER116C	NA
YDL013W	YJR091C	NA
YDL013W	YMR111C	NA
YDL015C	YIR038C	NA
YDL015C	YOR324C	NA
YDL017W	YDL160C	NA
YDL017W	YEL023C	NA
YDL017W	YFR057W	NA
YDL017W	YGR099W	NA
YDL017W	YJL088W	NA
YDL017W	YKL039W	NA
YDL017W	YNR048W	NA
YDL017W	YOR006C	NA
YDL022W	YDR142C	NA
YDL025C	YPL260W	NA
YDL030W	YDR026C	NA
YDL031W	YPL004C	NA
YDL044C	YLR386W	NA
YDL045C	YGR077C	NA
YDL053C	YGR178C	NA
YDL055C	YDR510W	NA
YDL056W	YMR197C	NA
YDL057W	YJL058C	NA
YDL057W	YLR098C	NA
YDL057W	YPL049C	NA
YDL063C	YDR381W	NA
YDL063C	YPL131W	NA
YDL064W	YDR510W	NA
YDL065C	YGR119C	NA
YDL065C	YGR218W	NA
YDL065C	YLR071C	NA
YDL065C	YMR047C	NA
YDL065C	YMR163C	NA
YDL066W	YGL187C	NA
YDL070W	YLR227C	NA
YDL070W	YLR399C	NA
YDL070W	YMR227C	NA
YDL070W	YNR034W	NA
YDL071C	YDR183W	NA
YDL071C	YEL068C	NA
YDL071C	YFL017C	NA
YDL071C	YGR269W	NA
YDL071C	YNL155W	NA
YDL072C	YML029W	NA
YDL073W	YER118C	NA
YDL076C	YLR098C	NA
YDL081C	YGR209C	NA
YDL081C	YLR340W	NA
YDL081C	YPR086W	NA
YDL084W	YDL084W	NA
YDL084W	YDR510W	NA
YDL084W	YER063W	NA
YDL084W	YGL122C	NA
YDL084W	YKL214C	NA
YDL088C	YML031W	NA
YDL088C	YMR153W	NA
YDL089W	YDL089W	NA
YDL089W	YDR233C	NA
YDL089W	YLR324W	NA
YDL089W	YML008C	NA
YDL089W	YMR316CB	NA
YDL089W	YPR028W	NA
YDL090C	YKL019W	NA
YDL090C	YKR048C	NA
YDL090C	YMR139W	NA
YDL092W	YKL122C	NA
YDL097C	YEL009C	NA
YDL098C	YGR075C	NA
YDL100C	YDL121C	NA
YDL100C	YDR304C	NA
YDL100C	YDR513W	NA
YDL100C	YDR526C	NA
YDL100C	YER017C	NA
YDL100C	YER150W	NA
YDL100C	YGL153W	NA
YDL100C	YGR028W	NA
YDL100C	YGR189C	NA
YDL100C	YHL004W	NA
YDL100C	YHR057C	NA
YDL100C	YHR128W	NA
YDL100C	YHR180W	NA
YDL100C	YIL065C	NA
YDL100C	YIL162W	NA
YDL100C	YJL153C	NA
YDL100C	YKL154W	NA
YDL100C	YKR100C	NA
YDL100C	YLR297W	NA
YDL100C	YML101C	NA
YDL100C	YNL149C	NA
YDL100C	YNL199C	NA
YDL100C	YNR067C	NA
YDL100C	YOL018C	NA
YDL100C	YOL111C	NA
YDL100C	YOL126C	NA
YDL100C	YOR164C	NA
YDL100C	YPR075C	NA
YDL101C	YPL269W	NA
YDL105W	YOL034W	NA
YDL106C	YML051W	NA
YDL108W	YGL134W	NA
YDL108W	YNL025C	NA
YDL110C	YKL015W	NA
YDL110C	YOR078W	NA
YDL111C	YGR158C	NA
YDL113C	YJL036W	NA
YDL116W	YDR113C	NA
YDL116W	YKR082W	NA
YDL117W	YMR032W	NA
YDL118W	YLR295C	NA
YDL120W	YDR100W	NA
YDL120W	YMR071C	NA
YDL125C	YHL018W	NA
YDL126C	YDL190C	NA
YDL126C	YFL044C	NA
YDL126C	YGL108C	NA
YDL126C	YMR067C	NA
YDL126C	YNL155W	NA
YDL127W	YDR146C	NA
YDL130W	YKL002W	NA
YDL130W	YLR287C	NA
YDL130W	YLR340W	NA
YDL132W	YLR267W	NA
YDL132W	YOL133W	NA
YDL133CA	YKR048C	NA
YDL134C	YHR114W	NA
YDL134C	YMR028W	NA
YDL134C	YPR040W	NA
YDL135C	YLR229C	NA
YDL139C	YGL153W	NA
YDL144C	YDL144C	NA
YDL144C	YDR088C	NA
YDL144C	YLR291C	NA
YDL146W	YKL070W	NA
YDL147W	YJR091C	NA
YDL149W	YLR065C	NA
YDL150W	YKR025W	NA
YDL153C	YNL280C	NA
YDL154W	YFL003C	NA
YDL154W	YGL025C	NA
YDL154W	YGL170C	NA
YDL154W	YIL144W	NA
YDL154W	YMR224C	NA
YDL155W	YPL124W	NA
YDL160C	YEL015W	NA
YDL160C	YGR178C	NA
YDL160C	YOL149W	NA
YDL161W	YOR111W	NA
YDL164C	YDR100W	NA
YDL164C	YGL053W	NA
YDL164C	YNL044W	NA
YDL165W	YGR014W	NA
YDL165W	YKL002W	NA
YDL166C	YER047C	NA
YDL166C	YNL329C	NA
YDL168W	YER081W	NA
YDL184C	YKR048C	NA
YDL188C	YMR028W	NA
YDL188C	YPR040W	NA
YDL189W	YDR480W	NA
YDL189W	YIL122W	NA
YDL189W	YLR186W	NA
YDL189W	YPL049C	NA
YDL190C	YFL044C	NA
YDL190C	YMR276W	NA
YDL195W	YIL109C	NA
YDL195W	YLR208W	NA
YDL203C	YGR058W	NA
YDL203C	YOR372C	NA
YDL203C	YPL124W	NA
YDL204W	YER118C	NA
YDL207W	YDR192C	NA
YDL208W	YDR510W	NA
YDL208W	YHR072WA	NA
YDL208W	YLR175W	NA
YDL208W	YNL124W	NA
YDL209C	YLL036C	NA
YDL210W	YGL230C	NA
YDL212W	YDR508C	NA
YDL212W	YPL094C	NA
YDL215C	YLR432W	NA
YDL215C	YPR048W	NA
YDL216C	YMR025W	NA
YDL217C	YHR114W	NA
YDL218W	YGL044C	NA
YDL220C	YDR082W	NA
YDL224C	YER059W	NA
YDL226C	YER118C	NA
YDL226C	YGL198W	NA
YDL226C	YGR172C	NA
YDL226C	YJL151C	NA
YDL226C	YKR088C	NA
YDL226C	YOL129W	NA
YDL226C	YOR327C	NA
